iter	Passed	Remaining
0	54	54183
1	55	27798
2	57	19068
3	58	14581
4	60	11950
5	61	10132
6	62	8854
7	63	7929
8	65	7182
9	66	6593
10	79	7106
11	79	6564
12	80	6103
13	81	5705
14	81	5375
15	82	5071
16	89	5159
17	89	4901
18	93	4824
19	94	4608
20	94	4428
21	99	4409
22	99	4240
23	100	4084
24	102	4003
25	104	3916
26	106	3822
27	108	3755
28	111	3717
29	114	3710
30	115	3608
31	116	3513
32	116	3424
33	117	3341
34	118	3263
35	119	3188
36	119	3118
37	120	3053
38	121	2989
39	122	2928
40	122	2871
41	123	2818
42	124	2765
43	124	2714
44	125	2666
45	126	2622
46	127	2580
47	128	2538
48	128	2500
49	129	2462
50	130	2424
51	130	2387
52	131	2352
53	132	2319
54	133	2287
55	133	2256
56	134	2226
57	135	2197
58	136	2170
59	136	2144
60	137	2118
61	138	2096
62	139	2073
63	140	2049
64	140	2025
65	141	2003
66	142	1983
67	142	1957
68	143	1936
69	144	1916
70	145	1897
71	145	1879
72	146	1860
73	147	1842
74	148	1826
75	148	1809
76	149	1792
77	150	1775
78	151	1760
79	151	1744
80	152	1729
81	153	1714
82	153	1699
83	154	1685
84	155	1668
85	155	1655
86	156	1640
87	156	1626
88	157	1613
89	158	1602
90	159	1589
91	159	1577
92	160	1565
93	161	1553
94	161	1542
95	162	1531
96	163	1520
97	164	1509
98	164	1499
99	165	1489
100	166	1481
101	166	1469
102	167	1460
103	168	1453
104	169	1444
105	170	1435
106	170	1426
107	171	1416
108	172	1408
109	172	1399
110	173	1391
111	174	1383
112	175	1374
113	175	1366
114	176	1357
115	176	1348
116	177	1341
117	178	1333
118	178	1324
119	179	1317
120	180	1309
121	181	1303
122	181	1293
123	182	1287
124	182	1280
125	183	1274
126	184	1267
127	184	1259
128	185	1253
129	186	1247
130	187	1241
131	187	1235
132	188	1229
133	189	1222
134	189	1216
135	190	1210
136	191	1204
137	191	1198
138	192	1192
139	193	1187
140	194	1182
141	194	1177
142	195	1172
143	196	1166
144	197	1162
145	197	1157
146	198	1152
147	199	1146
148	199	1141
149	200	1136
150	201	1131
151	202	1127
152	202	1122
153	203	1117
154	204	1113
155	204	1108
156	205	1103
157	206	1098
158	206	1094
159	207	1089
160	208	1085
161	208	1080
162	209	1076
163	210	1072
164	211	1069
165	211	1065
166	212	1061
167	213	1057
168	214	1053
169	215	1050
170	216	1047
171	216	1043
172	217	1039
173	218	1036
174	218	1032
175	219	1028
176	220	1024
177	221	1020
178	221	1016
179	222	1013
180	222	1008
181	223	1004
182	224	1000
183	224	997
184	225	994
185	226	990
186	227	987
187	227	983
188	228	980
189	229	976
190	229	973
191	230	969
192	231	966
193	231	963
194	232	960
195	233	957
196	234	954
197	234	951
198	235	948
199	236	945
200	237	942
201	237	939
202	238	936
203	239	933
204	239	929
205	240	926
206	241	924
207	242	921
208	242	919
209	243	916
210	244	913
211	244	910
212	245	907
213	246	905
214	247	902
215	247	899
216	248	896
217	249	894
218	249	891
219	250	888
220	251	886
221	252	883
222	252	880
223	253	878
224	254	875
225	255	873
226	255	870
227	256	868
228	257	865
229	257	863
230	258	860
231	259	858
232	260	855
233	260	853
234	261	851
235	262	848
236	262	846
237	263	843
238	264	841
239	264	838
240	265	836
241	266	834
242	266	831
243	267	829
244	268	827
245	269	824
246	269	822
247	270	820
248	271	818
249	271	815
250	272	813
251	273	810
252	273	808
253	274	806
254	275	804
255	276	802
256	276	800
257	277	798
258	278	796
259	278	794
260	279	791
261	280	789
262	281	787
263	281	785
264	282	783
265	283	781
266	283	779
267	284	777
268	285	775
269	286	773
270	286	771
271	288	772
272	289	770
273	290	768
274	290	767
275	291	765
276	292	762
277	292	760
278	293	758
279	294	756
280	295	754
281	295	753
282	296	750
283	297	749
284	297	747
285	298	745
286	299	743
287	299	741
288	300	739
289	301	737
290	301	735
291	302	733
292	303	731
293	303	729
294	304	728
295	305	726
296	306	724
297	306	722
298	307	721
299	308	719
300	308	717
301	309	715
302	310	713
303	310	711
304	311	709
305	312	707
306	312	706
307	313	704
308	314	702
